ID,Name,Category,URL
0,Idle,Idle,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Idle.gif
1,Walking_Woman,Walking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Walking_Woman_woman.gif
2,Alert,LookingAround,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Alert.gif
3,Arise,LookingAround,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Arise.gif
4,Attack,AttackingwithWeapon,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Attack.gif
5,BackLeft_run,Running,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/BackLeft_run.gif
6,BackRight_Run,Running,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/BackRight_Run.gif
7,BeHit_FlyUp,GettingHit,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/BeHit_FlyUp.gif
8,Dead,Dying,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Dead.gif
9,ForwardLeft_Run_Fight,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/ForwardLeft_Run_Fight.gif
10,ForwardRight_Run_Fight,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/ForwardRight_Run_Fight.gif
11,Idle_02,Idle,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Idle_02.gif
12,Idle_03,Idle,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Idle_03.gif
13,Jump_Run,Running,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Jump_Run.gif
14,Run_02,Running,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Run_02.gif
15,Run_03,Running,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Run_03.gif
16,RunFast,Running,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/RunFast.gif
20,Walk_Fight_Back,Walking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Walk_Fight_Back.gif
21,Walk_Fight_Forward,Walking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Walk_Fight_Forward.gif
22,FunnyDancing_01,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/FunnyDancing_01.gif
23,FunnyDancing_02,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/FunnyDancing_02.gif
24,FunnyDancing_03,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/FunnyDancing_03.gif
25,Agree_Gesture,Interacting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Agree_Gesture.gif
26,Angry_Stomp,Interacting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Angry_Stomp.gif
27,Big_Heart_Gesture,Acting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Big_Heart_Gesture.gif
28,Big_Wave_Hello,Interacting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Big_Wave_Hello.gif
29,Call_Gesture,Acting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Call_Gesture.gif
30,Casual_Walk,Walking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Casual_Walk.gif
31,Catching_Breath,Acting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Catching_Breath.gif
32,Chair_Sit_Idle_F,Idle,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Chair_Sit_Idle_F.gif
33,Chair_Sit_Idle_M,Idle,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Chair_Sit_Idle_M.gif
34,Checkout_Gesture,Interacting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Checkout_Gesture.gif
35,Clapping_Run,Acting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Clapping_Run.gif
36,Confused_Scratch,Idle,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Confused_Scratch.gif
37,Discuss_While_Moving,Interacting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Discuss_While_Moving.gif
38,Dozing_Elderly,Idle,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Dozing_Elderly.gif
39,Excited_Walk_F,Acting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Excited_Walk_F.gif
40,Excited_Walk_M,Acting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Excited_Walk_M.gif
41,Formal_Bow,Interacting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Formal_Bow.gif
42,Gentlemans_Bow,Interacting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Gentleman%E2%80%99s_Bow.gif
43,Handbag_Walk,Acting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Handbag_Walk.gif
44,Happy_jump_f,Acting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Happy_Jump_F.gif
45,Indoor_Play,Acting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Indoor_Play.gif
46,Jump_Rope,Acting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Jump_Rope.gif
47,Listening_Gesture,Interacting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Listening_Gesture.gif
48,Mirror_Viewing,Idle,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Mirror_Viewing.gif
49,Motivational_Cheer,Interacting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Motivational_Cheer.gif
50,Phone_Call_Gesture,Interacting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Phone_Call_Gesture.gif
51,Shouting_Angrily,Acting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Shouting_Angrily.gif
52,Sit_to_Stand_Transition_F,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Sit_to_Stand_Transition_F.gif
53,Sit_to_Stand_Transition_M,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Sit_to_Stand_Transition_M.gif
54,Squat_Stance,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Squat_Stance.gif
55,Stage_Walk,Walking,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Stage_Walk.gif
56,Stand_and_Chat,Interacting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Stand_and_Chat.gif
57,Stand_to_Sit_Transition_M,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Stand_to_Sit_Transition_M.gif
58,Step_to_Sit_Transition,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Step_to_Sit_Transition.gif
59,Victory_Cheer,Acting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Victory_Cheer.gif
60,Walk_to_Sit,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Walk_to_Sit.gif
61,happy_jump_m,Acting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Happy_Jump_M.gif
62,penguin_walk,Acting,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Penguin_walk.gif
63,Arm_Circle_Shuffle,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Arm_Circle_Shuffle.gif
64,All_Night_Dance,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/All_Night_Dance.gif
65,Bass_Beats,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Bass_Beats.gif
66,Boom_Dance,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Boom_Dance.gif
67,Bubble_Dance,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Bubble_Dance.gif
68,Cherish_Pop_Dance,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Cherish_Pop_Dance.gif
69,Crystal_Beads,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Crystal_Beads.gif
70,Cardio_Dance,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Cardio_Dance.gif
71,Denim_Pop_Dance,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Denim_Pop_Dance.gif
72,Dont_You_Dare,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Dont_You_Dare.gif
73,Fast_Lightning,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Fast_Lightning.gif
74,Gangnam_Groove,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Gangnam_Groove.gif
75,Indoor_Swing,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Indoor_Swing.gif
76,Love_You_Pop_Dance,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Love_You_Pop_Dance.gif
77,Magic_Genie,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Magic_Genie.gif
78,Not_Your_Mom,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Not_Your_Mom.gif
79,OMG_Groove,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/OMG_Groove.gif
80,Pop_Dance_LSA2,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Pop_Dance_LSA2.gif
81,Pod_Baby_Groove,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Pod_Baby_Groove.gif
82,Shake_It_Off_Dance,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Shake_It_Off_Dance.gif
83,Superlove_Pop_Dance,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Superlove_Pop_Dance.gif
84,You_Groove,Dancing,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/You_Groove.gif
85,Axe_Stance,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Axe_Stance.gif
86,Basic_Jump,AttackingwithWeapon,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Basic_Jump.gif
87,Boxing_Practice,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Boxing_Practice.gif
88,Chest_Pound_Taunt,Transitioning,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Chest_Pound_Taunt.gif
89,Combat_Stance,AttackingwithWeapon,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Combat_Stance.gif
90,Counterstrike,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Counterstrike.gif
91,Double_Blade_Spin,AttackingwithWeapon,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Double_Blade_Spin.gif
92,Double_Combo_Attack,AttackingwithWeapon,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Double_Combo_Attack.gif
93,Dodge_and_Counter,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Dodge_and_Counter.gif
94,Flying_Fist_Kick,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Flying_Fist_Kick.gif
95,Gun_Hold_Left_Turn,AttackingwithWeapon,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Gun_Hold_Left_Turn.gif
96,Kung_Fu_Punch,Punching,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Kung_Fu_Punch.gif
97,Left_Slash,AttackingwithWeapon,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Left_Slash.gif
98,Run_and_Shoot,AttackingwithWeapon,https://cdn.meshy.ai/webapp-assets/feature-demo/animation/preview/biped/Run_and_Shoot.gif
